2017/12/01 09:07:33 [error] 6476#5700: *1 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/12/01 09:55:49 [error] 7556#7488: *4 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/c9e43788b6854a08bf47.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/c9e43788b6854a08bf47.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 09:56:40 [error] 7556#7488: *4 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/2fb22a97f0df7888f0fe.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/2fb22a97f0df7888f0fe.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 09:58:00 [error] 7556#7488: *6 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/b53c8c06fd22161c4a63.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/b53c8c06fd22161c4a63.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 09:58:38 [error] 7556#7488: *6 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/821c50b3fa186ddb1be5.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/821c50b3fa186ddb1be5.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 09:58:56 [error] 7556#7488: *6 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/f369aa28e25b2b39b26b.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/f369aa28e25b2b39b26b.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 09:59:17 [error] 7556#7488: *6 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/ba8dd27c7aeb03babf20.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/ba8dd27c7aeb03babf20.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 09:59:26 [error] 7556#7488: *6 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/ba8dd27c7aeb03babf20.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/ba8dd27c7aeb03babf20.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 10:01:40 [error] 7556#7488: *8 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/6014f5ed0f1c4760ad69.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/6014f5ed0f1c4760ad69.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 10:03:14 [error] 7556#7488: *10 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/ce81f2feb5760efe8c26.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/ce81f2feb5760efe8c26.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
2017/12/01 10:03:26 [error] 7556#7488: *10 CreateFile() "E:\software\nginx-1.12.2\nginx-1.12.2/html/build/e9047cd0a6ea0ed1bac5.hot-update.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /build/e9047cd0a6ea0ed1bac5.hot-update.json HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/"
